,date,value,type
247,2016-09-08,127.860001,open
247,2016-09-08,125.419998,close
248,2016-09-09,124.389999,open
248,2016-09-09,122.040001,close
249,2016-09-10,124.389999,open
249,2016-09-10,122.040001,close
250,2016-09-11,124.389999,open
250,2016-09-11,122.040001,close
251,2016-09-12,121.709999,open
251,2016-09-12,125.25,close
252,2016-09-13,124.0,open
252,2016-09-13,123.089996,close
253,2016-09-14,122.900002,open
253,2016-09-14,122.300003,close
254,2016-09-15,122.230003,open
254,2016-09-15,125.120003,close
255,2016-09-16,124.230003,open
255,2016-09-16,123.949997,close
256,2016-09-17,124.230003,open
256,2016-09-17,123.949997,close
257,2016-09-18,124.230003,open
257,2016-09-18,123.949997,close
258,2016-09-19,124.599998,open
258,2016-09-19,124.68,close
259,2016-09-20,125.93,open
259,2016-09-20,125.68,close
260,2016-09-21,125.870003,open
260,2016-09-21,128.399994,close
261,2016-09-22,129.0,open
261,2016-09-22,129.179993,close
262,2016-09-23,128.710007,open
262,2016-09-23,128.089996,close
263,2016-09-24,128.710007,open
263,2016-09-24,128.089996,close
264,2016-09-25,128.710007,open
264,2016-09-25,128.089996,close
265,2016-09-26,127.809998,open
265,2016-09-26,128.0,close
266,2016-09-27,128.419998,open
266,2016-09-27,128.899994,close
267,2016-09-28,128.639999,open
267,2016-09-28,127.989998,close
268,2016-09-29,128.089996,open
268,2016-09-29,129.789993,close
269,2016-09-30,129.169998,open
269,2016-09-30,132.770004,close
270,2016-10-01,129.169998,open
270,2016-10-01,132.770004,close
271,2016-10-02,129.169998,open
271,2016-10-02,132.770004,close
272,2016-10-03,132.449997,open
272,2016-10-03,132.110001,close
273,2016-10-04,132.0,open
273,2016-10-04,131.570007,close
274,2016-10-05,131.380005,open
274,2016-10-05,131.960007,close
275,2016-10-06,131.820007,open
275,2016-10-06,132.089996,close
276,2016-10-07,132.309998,open
276,2016-10-07,131.059998,close
277,2016-10-08,132.309998,open
277,2016-10-08,131.059998,close
278,2016-10-09,132.309998,open
278,2016-10-09,131.059998,close
279,2016-10-10,131.940002,open
279,2016-10-10,131.020004,close
280,2016-10-11,130.520004,open
280,2016-10-11,128.729996,close
281,2016-10-12,129.029999,open
281,2016-10-12,129.889999,close
282,2016-10-13,128.940002,open
282,2016-10-13,127.910004,close
283,2016-10-14,128.690002,open
283,2016-10-14,128.369995,close
284,2016-10-15,128.690002,open
284,2016-10-15,128.369995,close
285,2016-10-16,128.690002,open
285,2016-10-16,128.369995,close
286,2016-10-17,128.649994,open
286,2016-10-17,127.089996,close
287,2016-10-18,128.550003,open
287,2016-10-18,128.009995,close
288,2016-10-19,128.460007,open
288,2016-10-19,128.759995,close
289,2016-10-20,127.379997,open
289,2016-10-20,127.480003,close
290,2016-10-21,126.339996,open
290,2016-10-21,126.790001,close
291,2016-10-22,126.339996,open
291,2016-10-22,126.790001,close
292,2016-10-23,126.339996,open
292,2016-10-23,126.790001,close
293,2016-10-24,127.330002,open
293,2016-10-24,127.290001,close
294,2016-10-25,127.089996,open
294,2016-10-25,126.449997,close
295,2016-10-26,126.129997,open
295,2016-10-26,126.110001,close
296,2016-10-27,126.650002,open
296,2016-10-27,125.629997,close
297,2016-10-28,125.889999,open
297,2016-10-28,125.650002,close
298,2016-10-29,125.889999,open
298,2016-10-29,125.650002,close
299,2016-10-30,125.889999,open
299,2016-10-30,125.650002,close
300,2016-10-31,126.260002,open
300,2016-10-31,125.900002,close
301,2016-11-01,126.519997,open
301,2016-11-01,124.330002,close
302,2016-11-02,124.489998,open
302,2016-11-02,122.970001,close
303,2016-11-03,123.120003,open
303,2016-11-03,123.669998,close
304,2016-11-04,120.239998,open
304,2016-11-04,116.779999,close
305,2016-11-05,120.239998,open
305,2016-11-05,116.779999,close
306,2016-11-06,120.239998,open
306,2016-11-06,116.779999,close
307,2016-11-07,119.120003,open
307,2016-11-07,117.690002,close
308,2016-11-08,117.129997,open
308,2016-11-08,118.790001,close
309,2016-11-09,117.010002,open
309,2016-11-09,118.0,close
310,2016-11-10,118.669998,open
310,2016-11-10,122.269997,close
311,2016-11-11,121.550003,open
311,2016-11-11,121.480003,close
312,2016-11-12,121.550003,open
312,2016-11-12,121.480003,close
313,2016-11-13,121.550003,open
313,2016-11-13,121.480003,close
314,2016-11-14,120.959999,open
314,2016-11-14,122.489998,close
315,2016-11-15,123.730003,open
315,2016-11-15,123.330002,close
316,2016-11-16,123.169998,open
316,2016-11-16,122.669998,close
317,2016-11-17,122.790001,open
317,2016-11-17,124.599998,close
318,2016-11-18,124.790001,open
318,2016-11-18,124.82,close
319,2016-11-19,124.790001,open
319,2016-11-19,124.82,close
320,2016-11-20,124.790001,open
320,2016-11-20,124.82,close
321,2016-11-21,125.099998,open
321,2016-11-21,123.889999,close
322,2016-11-22,124.370003,open
322,2016-11-22,124.82,close
323,2016-11-23,124.82,open
323,2016-11-23,124.559998,close
324,2016-11-24,124.82,open
324,2016-11-24,124.559998,close
325,2016-11-25,124.550003,open
325,2016-11-25,125.300003,close
326,2016-11-26,124.550003,open
326,2016-11-26,125.300003,close
327,2016-11-27,124.550003,open
327,2016-11-27,125.300003,close
328,2016-11-28,124.82,open
328,2016-11-28,124.370003,close
329,2016-11-29,124.760002,open
329,2016-11-29,124.379997,close
330,2016-11-30,125.5,open
330,2016-11-30,124.370003,close
331,2016-12-01,125.099998,open
331,2016-12-01,121.419998,close
